Municipality,Description,Amount,Year,Coordinates,Latitude,Longitude
Town of Sturbridge ,RDP Payment ,2800,2015.0,"(42.1083244, -72.080789)",42.1083244,-72.080789
Town of Sunderland ,Small-Scale Payment ,500,2015.0,"(42.4663727, -72.5795115)",42.4663727,-72.5795115
Town of Sutton ,RDP Payment ,1800,2015.0,"(42.1500353, -71.7632878)",42.1500353,-71.7632878
Town of Swampscott ,Small-Scale Payment ,1000,2015.0,"(42.47094370000001, -70.91755619999999)",42.47094370000001,-70.91755619999999
Town of Swansea ,RDP Payment ,7200,2015.0,"(41.748162, -71.1895617)",41.748162,-71.1895617
City of Taunton ,RDP Payment ,33000,2015.0,"(41.900101, -71.0897674)",41.900101,-71.0897674
Town of Topsfield ,RDP Payment ,3200,2015.0,"(42.6418275, -70.9504705)",42.6418275,-70.9504705
Town of Townsend ,RDP Payment ,3200,2015.0,"(42.6670785, -71.7069358)",42.6670785,-71.7069358
Town of Upton ,RDP Payment ,2800,2015.0,"(42.1736028, -71.6035229)",42.1736028,-71.6035229
City of Waltham ,Small-Scale Payment ,2000,2015.0,"(42.3764852, -71.2356113)",42.3764852,-71.2356113
Town of Wareham ,Small-Scale Payment ,1500,2015.0,"(41.7914916, -70.76632839999999)",41.7914916,-70.76632839999999
Town of Warwick ,RDP Payment ,1400,2015.0,"(42.6820293, -72.33897429999999)",42.6820293,-72.33897429999999
Town of Washington ,Small-Scale Payment ,500,2015.0,"(42.36592, -73.116214)",42.36592,-73.116214
Town of Wayland ,RDP Payment ,2800,2015.0,"(42.3625953, -71.3614484)",42.3625953,-71.3614484
Town of Wellfleet ,RDP Payment ,6400,2015.0,"(41.93054679999999, -70.03097530000001)",41.93054679999999,-70.03097530000001
Town of Wendell ,RDP Payment ,1800,2015.0,"(42.5481852, -72.396722)",42.5481852,-72.396722
Town of Wenham ,RDP Payment ,1600,2015.0,"(42.6044177, -70.8869017)",42.6044177,-70.8869017
Town of West Boylston ,RDP Payment ,4000,2015.0,"(42.3667589, -71.78562699999999)",42.3667589,-71.78562699999999
Town of West Springfield ,RDP Payment ,7000,2015.0,"(42.1070383, -72.6203675)",42.1070383,-72.6203675
City of Westfield ,Small-Scale Payment ,1500,2015.0,"(42.1250929, -72.749538)",42.1250929,-72.749538
Town of Westhampton ,RDP Payment ,2000,2015.0,"(42.3042798, -72.7757268)",42.3042798,-72.7757268
Town of Westport ,RDP Payment ,2000,2015.0,"(41.5700183, -71.0735476)",41.5700183,-71.0735476
Town of Weymouth ,RDP Payment ,24000,2015.0,"(42.2180724, -70.94103559999999)",42.2180724,-70.94103559999999
Town of Whately ,RDP Payment ,2000,2015.0,"(42.4398101, -72.6348118)",42.4398101,-72.6348118
Town of Whitman ,Small-Scale Payment ,1000,2015.0,"(42.08135559999999, -70.9357948)",42.08135559999999,-70.9357948
Town of Williamsburg ,RDP Payment ,1600,2015.0,"(42.3928305, -72.7300929)",42.3928305,-72.7300929
Town of Williamstown ,RDP Payment ,1400,2015.0,"(42.71126330000001, -73.1994775)",42.71126330000001,-73.1994775
Town of Winchester ,Small-Scale Payment ,1250,2015.0,"(42.452303, -71.1369959)",42.452303,-71.1369959
Town of Windsor ,RDP Payment ,1200,2015.0,"(42.5090217, -73.0457124)",42.5090217,-73.0457124
City of Worcester ,RDP Payment ,66000,2015.0,"(42.2625932, -71.8022934)",42.2625932,-71.8022934
Town of Worthington ,RDP Payment ,1600,2015.0,"(42.399473, -72.9369442)",42.399473,-72.9369442
Town of Wrentham ,Small-Scale Payment ,1000,2015.0,"(42.0667652, -71.3281114)",42.0667652,-71.3281114
Abington ,RDP Payment ,4400,2016.0,"(42.1048228, -70.9453218)",42.1048228,-70.9453218
Acton ,RDP Payment ,7200,2016.0,"(42.4850931, -71.43284)",42.4850931,-71.43284
Adams ,Small-Scale Payment ,750,2016.0,"(42.625118, -73.11897739999999)",42.625118,-73.11897739999999
Agawam ,Small-Scale Payment ,1500,2016.0,"(42.0695391, -72.61481169999999)",42.0695391,-72.61481169999999
Amesbury ,RDP Payment ,7200,2016.0,"(42.85839250000001, -70.93003759999999)",42.85839250000001,-70.93003759999999
Amherst ,RDP Payment ,3000,2016.0,"(42.3732216, -72.5198537)",42.3732216,-72.5198537
Aquinnah ,RDP Payment ,1200,2016.0,"(41.3352369, -70.80078639999999)",41.3352369,-70.80078639999999
Arlington ,RDP Payment ,21000,2016.0,"(42.4153925, -71.1564729)",42.4153925,-71.1564729
Ashby ,RDP Payment ,2200,2016.0,"(42.6772767, -71.81871389999999)",42.6772767,-71.81871389999999
Ashfield ,RDP Payment ,1800,2016.0,"(42.5264745, -72.788426)",42.5264745,-72.788426
Ashland ,RDP Payment ,5600,2016.0,"(42.2612067, -71.4633956)",42.2612067,-71.4633956
Athol ,RDP Payment ,1600,2016.0,"(42.59593290000001, -72.2267383)",42.59593290000001,-72.2267383
Auburn ,RDP Payment ,5600,2016.0,"(42.1945385, -71.8356271)",42.1945385,-71.8356271
